"","Province","Country"
"1","Achaia","Greece                                                                                                                                                "
"2","Aconcagua Costa","Chile                                                                                                                                                 "
"3","Aconcagua Valley","Chile                                                                                                                                                 "
"4","Aegean","Turkey                                                                                                                                                "
"5","Agioritikos","Greece                                                                                                                                                "
"6","Alenquer","Portugal                                                                                                                                              "
"7","Alentejano","Portugal                                                                                                                                              "
"8","Alentejo","Portugal                                                                                                                                              "
"9","Alenteo","Portugal                                                                                                                                              "
"10","Algarve","Portugal                                                                                                                                              "
"11","Alsace","France                                                                                                                                                "
"12","America","US                                                                                                                                                    "
"13","Amindeo","Greece                                                                                                                                                "
"14","Amyndeon","Greece                                                                                                                                                "
"15","Andalucia","Spain                                                                                                                                                 "
"16","Ankara","Turkey                                                                                                                                                "
"17","Apalta","Chile                                                                                                                                                 "
"18","Arcadia","Greece                                                                                                                                                "
"19","Arizona","US                                                                                                                                                    "
"20","Atalanti Valley","Greece                                                                                                                                                "
"21","Atlantida","Uruguay                                                                                                                                               "
"22","Attica","Greece                                                                                                                                                "
"23","Australia Other","Australia                                                                                                                                             "
"24","Awatere Valley","New Zealand                                                                                                                                           "
"25","Baden","Germany                                                                                                                                               "
"26","Bairrada","Portugal                                                                                                                                              "
"27","Beaujolais","France                                                                                                                                                "
"28","Beira Atlantico","Portugal                                                                                                                                              "
"29","Beira Interior","Portugal                                                                                                                                              "
"30","Beiras","Portugal                                                                                                                                              "
"31","Bekaa Valley","Lebanon                                                                                                                                               "
"32","Beotia","Greece                                                                                                                                                "
"33","Bio Bio Valley","Chile                                                                                                                                                 "
"34","Black Sea Coastal","Bulgaria                                                                                                                                              "
"35","Bordeaux","France                                                                                                                                                "
"36","Bot River","South Africa                                                                                                                                          "
"37","Breede River Valley","South Africa                                                                                                                                          "
"38","Breedekloof","South Africa                                                                                                                                          "
"39","British Columbia","Canada                                                                                                                                                "
"40","Bucelas","Portugal                                                                                                                                              "
"41","Burgenland","Austria                                                                                                                                               "
"42","Burgundy","France                                                                                                                                                "
"43","Cachapoal Valley","Chile                                                                                                                                                 "
"44","Cahul","Moldova                                                                                                                                               "
"45","California","US                                                                                                                                                    "
"46","Campanha","Brazil                                                                                                                                                "
"47","Canada Other","Canada                                                                                                                                                "
"48","Canelones","Uruguay                                                                                                                                               "
"49","Canterbury","New Zealand                                                                                                                                           "
"50","Cape Agulhas","South Africa                                                                                                                                          "
"51","Cape Peninsula","South Africa                                                                                                                                          "
"52","Cape South Coast","South Africa                                                                                                                                          "
"53","Cappadocia","Turkey                                                                                                                                                "
"54","Carnuntum","Austria                                                                                                                                               "
"55","Casablanca & Leyda Valleys","Chile                                                                                                                                                 "
"56","Casablanca Curico Valley","Chile                                                                                                                                                 "
"57","Casablanca Valley","Chile                                                                                                                                                 "
"58","Catalonia","Spain                                                                                                                                                 "
"59","Cauquenes Valley","Chile                                                                                                                                                 "
"60","Cederberg","South Africa                                                                                                                                          "
"61","Central Greece","Greece                                                                                                                                                "
"62","Central Italy","Italy                                                                                                                                                 "
"63","Central Otago","New Zealand                                                                                                                                           "
"64","Central Spain","Spain                                                                                                                                                 "
"65","Central Valley","Chile                                                                                                                                                 "
"66","Cephalonia","Greece                                                                                                                                                "
"67","Ceres Plateau","South Africa                                                                                                                                          "
"68","Chalkidiki","Greece                                                                                                                                                "
"69","Champagne","France                                                                                                                                                "
"70","Choapa Valley","Chile                                                                                                                                                 "
"71","Coastal Region","South Africa                                                                                                                                          "
"72","Codru Region","Moldova                                                                                                                                               "
"73","Coelemu","Chile                                                                                                                                                 "
"74","Colares","Portugal                                                                                                                                              "
"75","Colchagua Costa","Chile                                                                                                                                                 "
"76","Colchagua Valley","Chile                                                                                                                                                 "
"77","Colorado","US                                                                                                                                                    "
"78","Commandaria","Cyprus                                                                                                                                                "
"79","Connecticut","US                                                                                                                                                    "
"80","Constantia","South Africa                                                                                                                                          "
"81","Corinth","Greece                                                                                                                                                "
"82","Corinthia","Greece                                                                                                                                                "
"83","Crete","Greece                                                                                                                                                "
"84","Curico and Leyda Valleys","Chile                                                                                                                                                 "
"85","Curico and Maipo Valleys","Chile                                                                                                                                                 "
"86","Curico Valley","Chile                                                                                                                                                 "
"87","Cyclades","Greece                                                                                                                                                "
"88","Dalmatian Coast","Croatia                                                                                                                                               "
"89","Danube River Plains","Bulgaria                                                                                                                                              "
"90","Darling","South Africa                                                                                                                                          "
"91","Dealu Mare","Romania                                                                                                                                               "
"92","Dealurile Hu ilor","Romania                                                                                                                                               "
"93","Dealurile Munteniei","Romania                                                                                                                                               "
"94","Devon Valley","South Africa                                                                                                                                          "
"95","Dingac","Croatia                                                                                                                                               "
"96","Dolenjska","Slovenia                                                                                                                                              "
"97","Douro","Portugal                                                                                                                                              "
"98","Drama","Greece                                                                                                                                                "
"99","Durbanville","South Africa                                                                                                                                          "
"100","Duriense","Portugal                                                                                                                                              "
"101","East Coast","New Zealand                                                                                                                                           "
"102","Eilandia","South Africa                                                                                                                                          "
"103","Eisenberg","Austria                                                                                                                                               "
"104","Elazig","Turkey                                                                                                                                                "
"105","Elazig Diyarbakir","Turkey                                                                                                                                                "
"106","Elgin","South Africa                                                                                                                                          "
"107","Ella Valley","Israel                                                                                                                                                "
"108","Elqui Valley","Chile                                                                                                                                                 "
"109","England","England                                                                                                                                               "
"110","Epanomi","Greece                                                                                                                                                "
"111","Estremadura","Portugal                                                                                                                                              "
"112","Florina","Greece                                                                                                                                                "
"113","France Other","France                                                                                                                                                "
"114","Franken","Germany                                                                                                                                               "
"115","Franschhoek","South Africa                                                                                                                                          "
"116","Fruska Gora","Serbia                                                                                                                                                "
"117","Galicia","Spain                                                                                                                                                 "
"118","Galil","Israel                                                                                                                                                "
"119","Galilee","Israel                                                                                                                                                "
"120","Gisborne","New Zealand                                                                                                                                           "
"121","Gladstone","New Zealand                                                                                                                                           "
"122","Golan Heights","Israel                                                                                                                                                "
"123","Goriska Brda","Slovenia                                                                                                                                              "
"124","Goumenissa","Greece                                                                                                                                                "
"125","Groenekloof","South Africa                                                                                                                                          "
"126","Guerrouane","Morocco                                                                                                                                               "
"127","Halkidiki","Greece                                                                                                                                                "
"128","Haut Judee","Israel                                                                                                                                                "
"129","Hawaii","US                                                                                                                                                    "
"130","Hawke's Bay","New Zealand                                                                                                                                           "
"131","Helderberg","South Africa                                                                                                                                          "
"132","Hemel en Aarde","South Africa                                                                                                                                          "
"133","Hrvatsko Primorje","Croatia                                                                                                                                               "
"134","Idaho","US                                                                                                                                                    "
"135","Illinois","US                                                                                                                                                    "
"136","Imathia","Greece                                                                                                                                                "
"137","Ismarikos","Greece                                                                                                                                                "
"138","Istria","Croatia                                                                                                                                               "
"139","Italy Other","Italy                                                                                                                                                 "
"140","Itata Valley","Chile                                                                                                                                                 "
"141","Jerusalem Hills","Israel                                                                                                                                                "
"142","Jidvei","Romania                                                                                                                                               "
"143","Jonkershoek Valley","South Africa                                                                                                                                          "
"144","Juanico","Uruguay                                                                                                                                               "
"145","Judean Hills","Israel                                                                                                                                                "
"146","Kakheti","Georgia                                                                                                                                               "
"147","Kamptal","Austria                                                                                                                                               "
"148","Kathikas","Cyprus                                                                                                                                                "
"149","Kentucky","US                                                                                                                                                    "
"150","Korcula","Croatia                                                                                                                                               "
"151","Korinthia","Greece                                                                                                                                                "
"152","Krania Olympus","Greece                                                                                                                                                "
"153","Kremstal","Austria                                                                                                                                               "
"154","Kumeu","New Zealand                                                                                                                                           "
"155","Kutjevo","Croatia                                                                                                                                               "
"156","Lakonia","Greece                                                                                                                                                "
"157","Landwein Rhein","Germany                                                                                                                                               "
"158","Languedoc Roussillon","France                                                                                                                                                "
"159","Leithaberg","Austria                                                                                                                                               "
"160","Lemesos","Cyprus                                                                                                                                                "
"161","Lesbos","Greece                                                                                                                                                "
"162","Letrinon","Greece                                                                                                                                                "
"163","Levante","Spain                                                                                                                                                 "
"164","Leyda Valley","Chile                                                                                                                                                 "
"165","Leyda Valley Maipo Valley","Chile                                                                                                                                                 "
"166","Limari Valley","Chile                                                                                                                                                 "
"167","Limnos","Greece                                                                                                                                                "
"168","Lisboa","Portugal                                                                                                                                              "
"169","Loire Valley","France                                                                                                                                                "
"170","Lolol Valley","Chile                                                                                                                                                 "
"171","Lombardy","Italy                                                                                                                                                 "
"172","Loncomilla Valley","Chile                                                                                                                                                 "
"173","Lontue Valley","Chile                                                                                                                                                 "
"174","Lutzville Valley","South Africa                                                                                                                                          "
"175","Macedonia","Greece                                                                                                                                                "
"176","Madeira","Portugal                                                                                                                                              "
"177","Maipo Valley","Chile                                                                                                                                                 "
"178","Maipo Valley Colchagua Valley","Chile                                                                                                                                                 "
"179","Malgas","South Africa                                                                                                                                          "
"180","Malleco","Chile                                                                                                                                                 "
"181","Mantinia","Greece                                                                                                                                                "
"182","Marchigue","Chile                                                                                                                                                 "
"183","Markopoulo","Greece                                                                                                                                                "
"184","Marlborough","New Zealand                                                                                                                                           "
"185","Martinborough","New Zealand                                                                                                                                           "
"186","Massachusetts","US                                                                                                                                                    "
"187","Matra","Hungary                                                                                                                                               "
"188","Maule Valley","Chile                                                                                                                                                 "
"189","Mavrodaphne de Cephalonie","Greece                                                                                                                                                "
"190","Mavrodaphne of Patras","Greece                                                                                                                                                "
"191","Mendoza Province","Argentina                                                                                                                                             "
"192","Messinia","Greece                                                                                                                                                "
"193","Michigan","US                                                                                                                                                    "
"194","Middle and South Dalmatia","Croatia                                                                                                                                               "
"195","Minho","Portugal                                                                                                                                              "
"196","Missouri","US                                                                                                                                                    "
"197","Mittelburgenland","Austria                                                                                                                                               "
"198","Mittelrhein","Germany                                                                                                                                               "
"199","Moldova","Moldova                                                                                                                                               "
"200","Molina","Chile                                                                                                                                                 "
"201","Monemvasia","Greece                                                                                                                                                "
"202","Montevideo","Uruguay                                                                                                                                               "
"203","Moravia","Czech Republic                                                                                                                                        "
"204","Moscatel de Setubal","Portugal                                                                                                                                              "
"205","Moscatel do Douro","Portugal                                                                                                                                              "
"206","Mosel","Germany                                                                                                                                               "
"207","Mosel Saar Ruwer","Germany                                                                                                                                               "
"208","Moselle Luxembourgeoise","Luxembourg                                                                                                                                            "
"209","Mostar","Bosnia and Herzegovina                                                                                                                                "
"210","Mount Athos","Greece                                                                                                                                                "
"211","Murfatlar","Romania                                                                                                                                               "
"212","Muscat of Kefallonian","Greece                                                                                                                                                "
"213","Muscat of Patras","Greece                                                                                                                                                "
"214","Muzla","Slovakia                                                                                                                                              "
"215","Naoussa","Greece                                                                                                                                                "
"216","Nashik","India                                                                                                                                                 "
"217","Negev","Israel                                                                                                                                                "
"218","Negev Hills","Israel                                                                                                                                                "
"219","Nelson","New Zealand                                                                                                                                           "
"220","Nemea","Greece                                                                                                                                                "
"221","Neuchatel","Switzerland                                                                                                                                           "
"222","Neusiedlersee","Austria                                                                                                                                               "
"223","Nevada","US                                                                                                                                                    "
"224","New Jersey","US                                                                                                                                                    "
"225","New Mexico","US                                                                                                                                                    "
"226","New South Wales","Australia                                                                                                                                             "
"227","New York","US                                                                                                                                                    "
"228","Niederosterreich","Austria                                                                                                                                               "
"229","North Carolina","US                                                                                                                                                    "
"230","North Dalmatia","Croatia                                                                                                                                               "
"231","Northeastern Italy","Italy                                                                                                                                                 "
"232","Northern Cape","South Africa                                                                                                                                          "
"233","Northern Spain","Spain                                                                                                                                                 "
"234","Northwestern Italy","Italy                                                                                                                                                 "
"235","Obidos","Portugal                                                                                                                                              "
"236","Olifants River","South Africa                                                                                                                                          "
"237","Ontario","Canada                                                                                                                                                "
"238","Oregon","US                                                                                                                                                    "
"239","Osterreichischer Perlwein","Austria                                                                                                                                               "
"240","Osterreichischer Sekt","Austria                                                                                                                                               "
"241","Other","Argentina                                                                                                                                             "
"242","Overberg","South Africa                                                                                                                                          "
"243","Paardeberg","South Africa                                                                                                                                          "
"244","Paarl","South Africa                                                                                                                                          "
"245","Pafos","Cyprus                                                                                                                                                "
"246","Pageon","Greece                                                                                                                                                "
"247","Palmela","Portugal                                                                                                                                              "
"248","Panciu","Romania                                                                                                                                               "
"249","Pangeon","Greece                                                                                                                                                "
"250","Patras","Greece                                                                                                                                                "
"251","Peljesac","Croatia                                                                                                                                               "
"252","Peloponnese","Greece                                                                                                                                                "
"253","Peninsula de Setubal","Portugal                                                                                                                                              "
"254","Pennsylvania","US                                                                                                                                                    "
"255","Peumo","Chile                                                                                                                                                 "
"256","Pfalz","Germany                                                                                                                                               "
"257","Philadelphia","South Africa                                                                                                                                          "
"258","Piedmont","Italy                                                                                                                                                 "
"259","Piekenierskloof","South Africa                                                                                                                                          "
"260","Pinto Bandeira","Brazil                                                                                                                                                "
"261","Pirque","Chile                                                                                                                                                 "
"262","Pitsilia Mountains","Cyprus                                                                                                                                                "
"263","Pocerina","Serbia                                                                                                                                                "
"264","Podunavlje","Croatia                                                                                                                                               "
"265","Polkadraai Hills","South Africa                                                                                                                                          "
"266","Portuguese Table Wine","Portugal                                                                                                                                              "
"267","Primorska","Slovenia                                                                                                                                              "
"268","Progreso","Uruguay                                                                                                                                               "
"269","Provence","France                                                                                                                                                "
"270","Puente Alto","Chile                                                                                                                                                 "
"271","Rapel Valley","Chile                                                                                                                                                 "
"272","Rapsani","Greece                                                                                                                                                "
"273","Recas","Romania                                                                                                                                               "
"274","Requinoa","Chile                                                                                                                                                 "
"275","Retsina","Greece                                                                                                                                                "
"276","Rheingau","Germany                                                                                                                                               "
"277","Rheinhessen","Germany                                                                                                                                               "
"278","Rhode Island","US                                                                                                                                                    "
"279","Rhone Valley","France                                                                                                                                                "
"280","Ribatejano","Portugal                                                                                                                                              "
"281","Ribatejo","Portugal                                                                                                                                              "
"282","Rio Claro","Chile                                                                                                                                                 "
"283","Robertson","South Africa                                                                                                                                          "
"284","Sagrada Familia","Chile                                                                                                                                                 "
"285","Samos","Greece                                                                                                                                                "
"286","Samson","Israel                                                                                                                                                "
"287","San Antonio","Chile                                                                                                                                                 "
"288","San Antonio de las Minas Valley","Mexico                                                                                                                                                "
"289","San Clemente","Chile                                                                                                                                                 "
"290","San Jose","Uruguay                                                                                                                                               "
"291","San Vicente","Mexico                                                                                                                                                "
"292","Santa Catarina","Brazil                                                                                                                                                "
"293","Santa Cruz","Chile                                                                                                                                                 "
"294","Santorini","Greece                                                                                                                                                "
"295","Sebes","Romania                                                                                                                                               "
"296","Serra do Sudeste","Brazil                                                                                                                                                "
"297","Serra Gaucha","Brazil                                                                                                                                                "
"298","Setubal","Portugal                                                                                                                                              "
"299","Shomron","Israel                                                                                                                                                "
"300","Sicily & Sardinia","Italy                                                                                                                                                 "
"301","Simonsberg Paarl","South Africa                                                                                                                                          "
"302","Simonsberg Stellenbosch","South Africa                                                                                                                                          "
"303","Sithonia","Greece                                                                                                                                                "
"304","Slovenska Istra","Slovenia                                                                                                                                              "
"305","Sopron","Hungary                                                                                                                                               "
"306","South Australia","Australia                                                                                                                                             "
"307","South Island","New Zealand                                                                                                                                           "
"308","Southern Italy","Italy                                                                                                                                                 "
"309","Southwest France","France                                                                                                                                                "
"310","Spain Other","Spain                                                                                                                                                 "
"311","Spanish Islands","Spain                                                                                                                                                 "
"312","Stajerska","Slovenia                                                                                                                                              "
"313","Steiermark","Austria                                                                                                                                               "
"314","Stellenbosch","South Africa                                                                                                                                          "
"315","Sterea Ellada","Greece                                                                                                                                                "
"316","Sudburgenland","Austria                                                                                                                                               "
"317","Sudoststeiermark","Austria                                                                                                                                               "
"318","Sudsteiermark","Austria                                                                                                                                               "
"319","Swartland","South Africa                                                                                                                                          "
"320","Szekszard","Hungary                                                                                                                                               "
"321","Table wine","Portugal                                                                                                                                              "
"322","Tarnave","Romania                                                                                                                                               "
"323","Tasmania","Australia                                                                                                                                             "
"324","Tavora Varosa","Portugal                                                                                                                                              "
"325","Terras do Dao","Portugal                                                                                                                                              "
"326","Terras do Sado","Portugal                                                                                                                                              "
"327","Texas","US                                                                                                                                                    "
"328","Thermenregion","Austria                                                                                                                                               "
"329","Thessalikos","Greece                                                                                                                                                "
"330","Thrace","Turkey                                                                                                                                                "
"331","Thracian Valley","Bulgaria                                                                                                                                              "
"332","Thraki","Greece                                                                                                                                                "
"333","Ticino","Switzerland                                                                                                                                           "
"334","Tikves","Macedonia                                                                                                                                             "
"335","Tokaj","Hungary                                                                                                                                               "
"336","Tokaji","Hungary                                                                                                                                               "
"337","Traisental","Austria                                                                                                                                               "
"338","Tras os Montes","Portugal                                                                                                                                              "
"339","Tulbagh","South Africa                                                                                                                                          "
"340","Tuscany","Italy                                                                                                                                                 "
"341","Upper Galilee","Israel                                                                                                                                                "
"342","Urla Thrace","Turkey                                                                                                                                                "
"343","Valais","Switzerland                                                                                                                                           "
"344","Vale dos Vinhedos","Brazil                                                                                                                                                "
"345","Vale Trentino","Brazil                                                                                                                                                "
"346","Valle de Guadalupe","Mexico                                                                                                                                                "
"347","Vanju Mare","Romania                                                                                                                                               "
"348","Veneto","Italy                                                                                                                                                 "
"349","Vermont","US                                                                                                                                                    "
"350","Victoria","Australia                                                                                                                                             "
"351","Vienna","Austria                                                                                                                                               "
"352","Viile Timis","Romania                                                                                                                                               "
"353","Viile Timisului","Romania                                                                                                                                               "
"354","Villany","Hungary                                                                                                                                               "
"355","Vin de Pays de Velvendo","Greece                                                                                                                                                "
"356","Vinho da Mesa","Portugal                                                                                                                                              "
"357","Vinho Espumante","Portugal                                                                                                                                              "
"358","Vinho Espumante de Qualidade","Portugal                                                                                                                                              "
"359","Vinho Licoroso","Portugal                                                                                                                                              "
"360","Vinho Verde","Portugal                                                                                                                                              "
"361","Vipavska Dolina","Slovenia                                                                                                                                              "
"362","Virginia","US                                                                                                                                                    "
"363","Vlootenburg","South Africa                                                                                                                                          "
"364","Wachau","Austria                                                                                                                                               "
"365","Wagram","Austria                                                                                                                                               "
"366","Wagram Donauland","Austria                                                                                                                                               "
"367","Waiheke Island","New Zealand                                                                                                                                           "
"368","Waipara","New Zealand                                                                                                                                           "
"369","Waipara Valley","New Zealand                                                                                                                                           "
"370","Wairarapa","New Zealand                                                                                                                                           "
"371","Wairau Valley","New Zealand                                                                                                                                           "
"372","Waitaki Valley","New Zealand                                                                                                                                           "
"373","Walker Bay","South Africa                                                                                                                                          "
"374","Washington","US                                                                                                                                                    "
"375","Washington Oregon","US                                                                                                                                                    "
"376","Weinland Osterreich","Austria                                                                                                                                               "
"377","Weinviertel","Austria                                                                                                                                               "
"378","Wellington","South Africa                                                                                                                                          "
"379","Western Australia","Australia                                                                                                                                             "
"380","Western Cape","South Africa                                                                                                                                          "
"381","Wiener Gemischter Satz","Austria                                                                                                                                               "
"382","Wurttemberg","Germany                                                                                                                                               "
"383","Zenata","Morocco                                                                                                                                               "
